8区平均μm,Al%,A级,B级,Cr%,Cu%,Cu+Cr+Ni%,C级,Mo%,N%,Ni%,P+S%,断面收缩率%,硅含量%,晶粒度级,抗拉强度MPa,磷含量%,硫含量%,锰含量%,偏析级,破断力KN,实测直径mm,碳含量%,椭圆度mm,DSL,JH_INVBASDOC_0001A11000000000JJMI,JH_INVBASDOC_0001A11000000000JJMU,JH_INVBASDOC_0001A11000000000JJN3,JH_INVBASDOC_0001A11000000000JJN6,JH_INVBASDOC_0001B21000000004ZBB3,JH_INVBASDOC_0001B210000000079RFT,JH_INVBASDOC_1001A110000000009MGI,JH_INVBASDOC_1001A110000000009MN5,JH_INVBASDOC_1001A11000000005DV3H,JH_INVBASDOC_1001A1100000000CP7W8,JH_INVBASDOC_1006B21000000000033F,JH_INVNAME_武钢W82DA,JH_INVNAME_武钢WLX72A-X,JH_INVNAME_武钢WLX82AG,JH_INVNAME_武钢WLX92A,JH_INVNAME_青钢C72D2,JH_INVNAME_青钢C72DA,JH_INVNAME_青钢C82D2,JH_INVNAME_青钢C82DA,JH_INVNAME_青钢C86D2,JH_INVNAME_青钢C92D2E,JH_INVNAME_青钢SWRH72A,JH_INSPECTIONRELAPLAN_IR0000000005ITOC2XUQ,JH_INSPECTIONRELAPLAN_IR0000000005ITOC2YQW,JH_INSPECTIONRELAPLAN_IR0000000005ITOC2YZV,JH_INSPECTIONRELAPLAN_IR0000000005ITOC2ZK5,JH_INSPECTIONRELAPLAN_IR0000000005ITOC2ZUG,JH_INSPECTIONRELAPLAN_IR0000000005ITOC3001,JH_INSPECTIONRELAPLAN_IR0000000005ITOC3073,JH_INSPECTIONRELAPLAN_IR0000000005ITOC30K7,JH_INSPECTIONRELAPLAN_IR0000000005ITOC311T,JH_INSPECTIONRELAPLAN_IR0000000005ITOC317U,JH_INSPECTIONRELAPLAN_IR0000000005ITOC31EC,JH_INSPECTIONRELAPLANNAME_ZX_QG86_PT,JH_INSPECTIONRELAPLANNAME_中心C70A盘条,JH_INSPECTIONRELAPLANNAME_中心C80A盘条,JH_INSPECTIONRELAPLANNAME_盘条C70（001）,JH_INSPECTIONRELAPLANNAME_盘条C80（001）,JH_INSPECTIONRELAPLANNAME_盘条C90（001）,JH_INSPECTIONPLAN_MD0000000005IS3HT1MA,JH_INSPECTIONPLAN_MD0000000005IS3HT1ME,JH_INSPECTIONPLAN_MD0000000005IS3HT4J8,JH_INSPECTIONPLAN_MD0000000005IS3HT4JA,JH_INSPECTIONPLAN_MD0000000005IS3HT4JC,JH_INSPECTIONPLAN_MD0000000005IS3HT5WW,CHECK_HG_FLAG_不合格,CHECK_HG_FLAG_合格,基体组织_S+F微量+P少量,基体组织_S+少量F+少量P,基体组织_S+微量F+少量P,基体组织_S+微量Fe3C+少量P,基体组织_S+微量Fe3C+少量PS+微量Fe3C+少量P,基体组织_S+微量的Fe3C+少量P,实测直径-面积,椭圆度mm-平方项
9,0.004,0.5,0.5,0.037,0.01,0,0.5,0.001,0,0.02,0.025,43.8,0.19,9.5,1072,0.017,0.008,0.53,2,26.02,5.56,0.838,0.16,3.181032682,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,24.27948466,0.0064
0,0.004,0.5,0.5,0.027,0.008,0,0.5,0.001,0,0.019,0.024,41,0.19,9.5,1123,0.015,0.009,0.51,2,26.38,5.47,0.817,0.15,3.14968091,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,23.49981991,0.005625
0,0.001,0.5,0.5,0.034,0.01,0,0.5,0.003,0,0.002,0.03,42.7,0.2,9.5,1164,0.022,0.008,0.53,2,27.33,5.47,0.824,0.19,3.085627187,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,23.49981991,0.009025
0,0.004,0.5,0.5,0.018,0.007,0.044,0.5,0.001,0.006,0.019,0.02,46.5,0.18,9.5,1157,0.014,0.006,0.53,2,26.9,5.44,0.849,0.09,5.758071258,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,23.24275909,0.002025
0,0.004,0.5,0.5,0.018,0.008,0.044,0.5,0.001,0.006,0.018,0.018,41.3,0.19,9.5,1105,0.012,0.006,0.52,2,26.83,5.56,0.8,0.19,3.527162449,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,24.27948466,0.009025
0,0.004,1,0.5,0.024,0.008,0,0.5,0.001,0,0.019,0.018,42.7,0.17,9.5,1117,0.01,0.008,0.51,1,27.01,5.55,0.819,0.11,0.881002392,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,24.19222693,0.003025
6,0.001,0.5,0.5,0.016,0.011,0,0.5,0.004,0,0.002,0.022,39.8,0.21,9.5,1150,0.013,0.009,0.5,2,27.72,5.54,0.843,0.09,1.698540566,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,24.10512627,0.002025
5,0.001,0.5,0.5,0.014,0.014,0,0.5,0.001,0,0.002,0.017,48.8,0.19,9.5,1071,0.007,0.01,0.54,2,25.25,5.48,0.713,0.1,0.678472462,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,23.58582101,0.0025
13,0.004,0.5,0.5,0.029,0.01,0,0.5,0.001,0,0.017,0.019,43.4,0.2,9.5,1135,0.011,0.008,0.5,2,27.25,5.53,0.821,0.16,2.059057473,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,24.0181827,0.0064
0,0.001,0.5,0.5,0.016,0.01,0,0.5,0.001,0,0.001,0.015,50.4,0.19,9.5,1005,0.01,0.005,0.51,2,24.23,5.54,0.713,0.18,5.609159034,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,24.10512627,0.0081
0,0.001,0.5,0.5,0.018,0.011,0,0.5,0.001,0,0.002,0.018,49.7,0.18,9.5,1059,0.01,0.008,0.53,2,24.6,5.44,0.721,0.15,1.312418118,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,23.24275909,0.005625
4,0.004,0.5,0.5,0.03,0.009,0,0.5,0.001,0,0.018,0.023,43.8,0.21,9.5,1142,0.014,0.009,0.55,2,27.63,5.55,0.812,0.12,2.793395586,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,24.19222693,0.0036
0,0.004,0.5,0.5,0.029,0.008,0,0.5,0.001,0,0.018,0.019,45.2,0.17,9.5,1148,0.014,0.005,0.54,2,27.65,5.54,0.836,0.16,1.810582389,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,24.10512627,0.0064
0,0.001,0.5,0.5,0.021,0.008,0,0.5,0.001,0,0.002,0.019,46,0.2,9.5,1136,0.012,0.007,0.51,2,27,5.5,0.842,0.04,1.963959854,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,23.75829444,0.0004
0,0.004,0.5,0.5,0.025,0.011,0,0.5,0.001,0,0.02,0.019,40.1,0.19,9.5,1126,0.013,0.006,0.53,1,26.56,5.48,0.836,0.2,2.546224258,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,23.58582101,0.01
0,0.004,0.5,0.5,0.046,0.009,0,0.5,0.001,0,0.021,0.021,41.1,0.21,9.5,1136,0.011,0.01,0.54,2,27.47,5.55,0.809,0.2,1.718006754,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,24.19222693,0.01
9,0.004,0.5,0.5,0.026,0.01,0,0.5,0.001,0,0.018,0.025,42.7,0.21,9.5,1093,0.016,0.009,0.55,2,26.5,5.55,0.843,0.14,2.595706209,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,24.19222693,0.0049
9,0.004,0.5,0.5,0.02,0.009,0,0.5,0.001,0,0.019,0.02,44.6,0.19,9.5,1108,0.01,0.01,0.54,1,27.18,5.59,0.803,0.14,2.589341074,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,24.54220035,0.0049
0,0.004,0.5,0.5,0.023,0.012,0,0.5,0.001,0,0.023,0.027,45.8,0.2,9.5,1134,0.017,0.01,0.51,1,27.33,5.54,0.847,0.12,7.095250126,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,24.10512627,0.0036
13,0.001,0.5,0.5,0.018,0.008,0,0.5,0.001,0,0.018,0.013,52.8,0.2,9.5,1037,0.006,0.007,0.54,2,25.18,5.56,0.72,0.22,1.41791033,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,24.27948466,0.0121
0,0.001,0.5,0.5,0.022,0.018,0,0.5,0.001,0,0.002,0.025,47.1,0.19,9.5,1101,0.015,0.01,0.51,2,26.82,5.57,0.812,0.13,2.690087297,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,24.36689948,0.004225
0,0.004,0.5,0.5,0.038,0.008,0,0.5,0.001,0,0.021,0.021,42.1,0.2,9.5,1063,0.013,0.008,0.53,2,25.44,5.52,0.844,0.1,2.292723864,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,23.9313962,0.0025
0,0.001,0.5,0.5,0.024,0.01,0,0.5,0.003,0,0.002,0.026,42.9,0.19,9.5,1128,0.012,0.014,0.49,2,26.58,5.48,0.831,0.14,2.057200005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,23.58582101,0.0049
12,0.001,0.5,0.5,0.018,0.016,0,0.5,0.001,0,0.002,0.023,47.7,0.2,9.5,1159,0.011,0.012,0.48,2,27.82,5.53,0.825,0.04,1.77626679,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,24.0181827,0.0004
14,0.004,0.5,0.5,0.023,0.008,0,0.5,0.001,0,0.017,0.023,44,0.21,9.5,1182,0.015,0.008,0.52,2,27.88,5.48,0.818,0.08,1.923875762,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,23.58582101,0.0016
0,0.001,0.5,0.5,0.029,0.008,0,0.5,0.001,0,0.001,0.024,45.4,0.19,9.5,1154,0.013,0.011,0.52,2,27.62,5.52,0.832,0.21,3.156198772,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,23.9313962,0.011025
5,0.001,0.5,0.5,0.017,0.01,0,0.5,0.003,0,0.002,0.018,42.3,0.19,9.5,1135,0.012,0.006,0.52,2,27.24,5.53,0.817,0.18,1.861205217,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,24.0181827,0.0081
0,0.001,0.5,0.5,0.017,0.015,0,0.5,0.001,0,0.002,0.021,49.2,0.19,9.5,1132,0.012,0.009,0.53,2,27.48,5.56,0.841,0.19,2.191229114,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,24.27948466,0.009025
8,0.001,0.5,0.5,0.02,0.01,0,0.5,0.002,0,0.002,0.025,53.1,0.21,9.5,1128,0.015,0.01,0.54,2,27.28,5.55,0.848,0.08,3.552998165,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,24.19222693,0.0016
0,0.001,0.5,0.5,0.022,0.01,0,0.5,0.002,0,0.002,0.028,44.8,0.2,9.5,1167,0.015,0.013,0.52,2,27.92,5.52,0.821,0.2,2.548773526,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,23.9313962,0.01
0,0.001,0.5,0.5,0.013,0.013,0.044,0.5,0.001,0.006,0.018,0.018,45.3,0.2,9.5,1067,0.009,0.009,0.51,2,25.42,5.51,0.712,0.22,2.393210842,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,23.84476678,0.0121
0,0.001,0.5,0.5,0.014,0.0123,0,0.5,0.001,0,0.002,0.022,43.7,0.18,9.5,1050,0.015,0.007,0.5,2,27.23,5.49,0.825,0.27,1.916901088,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,23.67197918,0.018225
7,0.004,0.5,0.5,0.021,0.01,0,0.5,0.001,0,0.018,0.016,46.7,0.2,9.5,1124,0.01,0.006,0.52,2,26.89,5.52,0.8,0.22,2.66538637,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,23.9313962,0.0121
0,0.001,0.5,0.5,0.017,0.008,0,0.5,0.003,0,0.002,0.018,46.8,0.19,9.5,1132,0.013,0.005,0.51,2,27.36,5.55,0.818,0.15,1.91181113,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,24.19222693,0.005625
0,0.001,0.5,0.5,0.018,0.01,0.03,0.5,0.001,0.006,0.002,0.018,48.7,0.19,9.5,1038,0.009,0.009,0.5,2,24.65,5.5,0.728,0.09,1.134717675,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,23.75829444,0.002025
0,0.001,0.5,0.5,0.016,0.012,0,0.5,0.001,0,0.002,0.016,56.7,0.18,9.5,1006,0.008,0.008,0.53,2,23.89,5.5,0.727,0.04,1.742324416,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,23.75829444,0.0004
0,0.004,0.5,0.5,0.023,0.01,0,0.5,0.001,0,0.019,0.03,43.1,0.2,9.5,1098,0.013,0.017,0.52,2,26.46,5.54,0.834,0.17,2.085538379,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,24.10512627,0.007225
0,0.001,0.5,0.5,0.019,0.011,0,0.5,0.001,0,0.002,0.025,43.1,0.2,9.5,1162,0.015,0.01,0.52,2,27.61,5.5,0.818,0.13,2.99796353,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,23.75829444,0.004225
0,0.004,0.5,0.5,0.023,0.007,0,0.5,0.001,0,0.018,0.016,45.2,0.17,9.5,1132,0.011,0.005,0.54,2,27.29,5.54,0.816,0.18,2.383623996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,24.10512627,0.0081
0,0.001,0.5,0.5,0.017,0.009,0.027,0.5,0.003,0.006,0.001,0.024,46.6,0.19,9.5,1095,0.017,0.007,0.53,2,26.4,5.54,0.819,0.15,3.004253829,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,24.10512627,0.005625
0,0.001,0.5,0.5,0.016,0.007,0,0.5,0.003,0,0.002,0.02,43.3,0.19,9.5,1104,0.016,0.004,0.51,2,26.71,5.55,0.812,0.15,2.153050542,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,24.19222693,0.005625
0,0.001,0.5,0.5,0.014,0.019,0.034,0.5,0.001,0.006,0.001,0.024,46.9,0.18,9.5,1076,0.016,0.008,0.52,2,25.48,5.49,0.729,0.14,1.212006968,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,23.67197918,0.0049
0,0.001,0.5,0.5,0.013,0.01,0.04,0.5,0.001,0.006,0.017,0.019,42.9,0.18,9.5,1001,0.009,0.01,0.53,2,24.3,5.56,0.713,0.16,4.109203766,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,24.27948466,0.0064
0,0.004,0.5,0.5,0.026,0.006,0.051,0.5,0.001,0.006,0.019,0.021,45.1,0.19,9.5,1143,0.014,0.007,0.54,2,26.95,5.48,0.828,0.07,4.458623799,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,23.58582101,0.001225
0,0.004,0.5,0.5,0.026,0.01,0,0.5,0.001,0,0.02,0.023,42.9,0.21,9.5,1148,0.013,0.01,0.53,2,27.87,5.56,0.845,0.1,2.015170836,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,24.27948466,0.0025
0,0.004,0.5,0.5,0.023,0.009,0,0.5,0.001,0,0.019,0.0191,44.6,0.2,9.5,1116,0.0101,0.009,0.53,2,26.6,5.51,0.809,0.08,3.593314873,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,23.84476678,0.0016
0,0.004,0.5,0.5,0.019,0.007,0.046,0.5,0.001,0.006,0.02,0.017,52.3,0.2,9.5,1121,0.01,0.007,0.51,1,26.93,5.53,0.828,0.14,3.730536277,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,24.0181827,0.0049
0,0.004,0.5,0.5,0.033,0.008,0,0.5,0.001,0,0.018,0.022,45,0.21,9.5,1101,0.015,0.007,0.51,2,26.44,5.53,0.812,0.09,1.982132728,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,24.0181827,0.002025
0,0.001,0.5,0.5,0.034,0.015,0,0.5,0.002,0,0.002,0.022,43.7,0.2,9.5,1171,0.014,0.008,0.54,2,27.71,5.49,0.848,0.09,3.346290557,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,23.67197918,0.002025
9,0.004,0.5,0.5,0.036,0.01,0,0.5,0.001,0,0.017,0.019,47,0.2,9.5,1132,0.013,0.006,0.55,2,27.09,5.52,0.822,0.06,1.848103667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,23.9313962,0.0009
3,0.004,0.5,0.5,0.024,0.008,0,0.5,0.001,0,0.019,0.023,46.9,0.19,9.5,1088,0.011,0.012,0.53,2,26.51,5.57,0.848,0.08,2.318210825,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,24.36689948,0.0016
0,0.001,0.5,0.5,0.016,0.013,0,0.5,0.004,0,0.002,0.024,43.3,0.2,9.5,1178,0.015,0.009,0.54,2,27.68,5.47,0.829,0.25,1.658316064,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,23.49981991,0.015625
5,0.001,0.5,0.5,0.023,0.009,0,0.5,0.002,0,0.001,0.029,46.4,0.19,9.5,1147,0.012,0.017,0.53,2,27.55,5.53,0.846,0.21,3.650360521,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,24.0181827,0.011025
0,0.001,0.5,0.5,0.023,0.01,0,0.5,0.002,0,0.002,0.025,51,0.19,9.5,1112,0.015,0.01,0.52,2,27.11,5.57,0.823,0.09,3.387039535,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,24.36689948,0.002025
0,0.001,0.5,0.5,0.027,0.01,0,0.5,0.001,0,0.001,0.016,48.2,0.2,9.5,1051,0.011,0.005,0.53,2,25.69,5.58,0.712,0.19,0.954667172,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,24.45447137,0.009025
0,0.001,0.5,0.5,0.033,0.012,0,0.5,0.001,0,0.002,0.019,56.8,0.21,9.5,1076,0.01,0.009,0.55,2,25.36,5.48,0.732,0.06,0.706581025,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,23.58582101,0.0009
0,0.001,0.5,0.5,0.022,0.008,0,0.5,0.001,0,0.017,0.019,48.6,0.21,9.5,1028,0.007,0.012,0.55,2,25.13,5.58,0.727,0.16,2.136892705,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,24.45447137,0.0064
3,0.004,0.5,0.5,0.034,0.008,0,0.5,0.001,0,0.018,0.019,43.6,0.21,9.5,1127,0.013,0.006,0.57,2,27.16,5.54,0.81,0.17,6.149379865,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,24.10512627,0.007225
0,0.001,0.5,0.5,0.0017,0.01,0.0287,0.5,0.001,0.006,0.017,0.017,45.8,0.2,9.5,1042,0.008,0.009,0.52,2,25.13,5.54,0.744,0.15,3.918013567,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,24.10512627,0.005625
